,LocID,LocNomLocMJSP,LocGeog,LocAtv,EmpID,LocLat,LocLong,LocMunGeoId,MunGeoNom,UFGeoSgl,nearest_node,nearest_edge_1,nearest_edge_2,edge_key,street_type_crossing,street_type_mini_roundabout,street_type_motorway_junction,street_type_traffic_signals,street_type_turning_circle,street_type_unknown
777,13690,"SP - SAO PAULO - AV ENG CAETANO ALVARES, 4.339 - SENT CENTRO",0xE6100000010C94F6065F987C37C0FB3A70CE885247C0,1,9,-23.4867,-46.6448,5542,SAO PAULO,SP,2573730594,2573730594,534975362,0,0.0,0.0,0.0,0.0,0.0,1.0
778,13691,"SP - SAO PAULO - AV GAL EDGAR FACO, 1.754 - SENT BAIRRO",0xE6100000010C04560E2DB27D37C017B7D100DE5A47C0,1,9,-23.491,-46.7099,5542,SAO PAULO,SP,453601892,1490110327,8707420253,0,0.0,0.0,0.0,0.0,0.0,1.0
779,13692,"SP - SAO PAULO - AV GAL EDGAR FACO, 1.189 - SENT CENTRO",0xE6100000010C1E166A4DF37E37C07B832F4CA65A47C0,1,9,-23.4959,-46.7082,5542,SAO PAULO,SP,1462077195,934205439,5284013703,0,0.0,0.0,0.0,0.0,0.0,1.0
780,13693,"SP - SAO PAULO - AV GAL ATALIBA LEONEL, 1.089 - SENT CENTRO",0xE6100000010CAA8251499D8037C02CD49AE61D4F47C0,1,9,-23.5024,-46.6181,5542,SAO PAULO,SP,2390192760,5656233207,2390192760,0,0.0,0.0,0.0,0.0,0.0,1.0
781,13694,"SP - SAO PAULO - AV FUAD LUTFALLA, 1.191 - SENT CENTRO",0xE6100000010C5F29CB10C77A37C0ED0DBE30995A47C0,1,9,-23.4796,-46.7078,5542,SAO PAULO,SP,1804254407,453613038,1808424630,0,0.0,0.0,0.0,0.0,0.0,1.0
782,13695,"SP - SAO PAULO - AV RAIMUNDO PEREIRA DE MAGALHAES, ANTES ALCA AC RODOANEL - SENT PERUS",0xE6100000010C9A999999996937C02041F163CC5D47C0,1,9,-23.4125,-46.7328,5542,SAO PAULO,SP,360446670,360446644,360446670,0,0.0,0.0,0.0,0.0,0.0,1.0
783,13696,"SP - SAO PAULO - AV RAIMUNDO PEREIRA DE MAGALHAES, ANTES ALCA AC RODOANEL - SENT PERUS",0xE6100000010C9A999999996937C02041F163CC5D47C0,1,9,-23.4125,-46.7328,5542,SAO PAULO,SP,360446670,360446644,360446670,0,0.0,0.0,0.0,0.0,0.0,1.0
784,13697,"SP - SAO PAULO - AV ZAKI NARCHI, 1.250 - SENT BAIRRO",0xE6100000010C5227A089B08137C0E63FA4DFBE4E47C0,1,9,-23.5066,-46.6152,5542,SAO PAULO,SP,2390192810,2390192810,1526961958,0,0.0,0.0,0.0,0.0,0.0,1.0
785,13698,"SP - SAO PAULO - AV ZAKI NARCHI, ANTES NUM 1.207 - SENT CENTRO",0xE6100000010CC4B12E6EA38137C0ADFA5C6DC54E47C0,1,9,-23.5064,-46.6154,5542,SAO PAULO,SP,2390192810,2390192771,3292667803,0,0.0,0.0,0.0,0.0,0.0,1.0
786,13699,SP - SAO PAULO - AV LUIZ DUMONT VILLARES APOS AV M EURICO GASPAR DUTRA - SENT CENTRO,0xE6100000010C5DFE43FAED7B37C092CB7F48BF4D47C0,1,9,-23.4841,-46.6074,5542,SAO PAULO,SP,10604868924,10604868924,8062494787,0,0.0,0.0,0.0,0.0,0.0,1.0
787,13700,"SP - SAO PAULO - AV PAULA FERREIRA, 1.039 - SENT CENTRO",0xE6100000010C71AC8BDB688037C0ED9E3C2CD45A47C0,1,9,-23.5016,-46.7096,5542,SAO PAULO,SP,453601515,453601515,453601590,0,0.0,0.0,0.0,0.0,0.0,1.0
788,13701,"SP - SAO PAULO - AV COND ELISABETH DE ROBIANO, 320 - FUNDACAO CASA - SENT ROD A SENNA",0xE6100000010C64CC5D4BC88737C0DC4603780B4C47C0,1,9,-23.5304,-46.5941,5542,SAO PAULO,SP,25778340,2383328427,2350165153,0,0.0,0.0,1.0,0.0,0.0,0.0
789,13702,"SP - SAO PAULO - R ALFREDO PUJOL, 316 - SENT CASA VERDE",0xE6100000010C55302AA9138037C0386744696F5047C0,1,9,-23.5003,-46.6284,5542,SAO PAULO,SP,4915793370,2387133562,4915793370,0,0.0,0.0,0.0,0.0,0.0,1.0
790,13703,"SP - SAO PAULO - R ALFREDO PUJOL, 316 - SENT CASA VERDE",0xE6100000010C55302AA9138037C0386744696F5047C0,1,9,-23.5003,-46.6284,5542,SAO PAULO,SP,4915793370,2387133562,4915793370,0,0.0,0.0,0.0,0.0,0.0,1.0
791,13704,"SP - SAO PAULO - R ZANZIBAR, 125 - SENT CENTRO",0xE6100000010C6B9A779CA28337C0B29DEFA7C65347C0,1,9,-23.5142,-46.6545,5542,SAO PAULO,SP,453649402,453649400,453649402,0,0.0,0.0,0.0,0.0,0.0,1.0
792,13705,"SP - SAO PAULO - R ZANZIBAR, OPOSTO NUM 210 - SENT CENTRO",0xE6100000010CF90FE9B7AF8337C06B2BF697DD5347C0,1,9,-23.5144,-46.6552,5542,SAO PAULO,SP,453649400,453649400,453649402,0,0.0,0.0,0.0,1.0,0.0,0.0
793,13706,"SP - SAO PAULO - AV BRAZ LEME, 2.946 - SENT SANTANA",0xE6100000010C1B2FDD24068137C046B6F3FDD45047C0,1,9,-23.504,-46.6315,5542,SAO PAULO,SP,2355019446,2386944918,2355019446,0,0.0,0.0,0.0,0.0,0.0,1.0
794,13707,SP - SAO PAULO - MARGINAL TIETE - EXPRESSA - KM 4 - EDITORA ABRIL - SENT ROD C BRANCO,0xE6100000010C52499D80268237C05C8FC2F5285C47C0,1,9,-23.5084,-46.72,5542,SAO PAULO,SP,25801156,25799531,25805614,0,0.0,0.0,0.0,0.0,0.0,1.0
795,13708,SP - SAO PAULO - AV LUIZ DUMONT VILLARES ANTES R FCO LIPI - HABIBS - SENT TUCURUVI,0xE6100000010C76E09C11A57D37C0A01A2FDD244E47C0,1,9,-23.4908,-46.6105,5542,SAO PAULO,SP,1663255555,1663255555,396034598,0,0.0,0.0,0.0,0.0,0.0,1.0
796,13709,"SP - SAO PAULO - AV LUIZ DUMONT VILLARES, ANTES R ARIOSTO CESAR - SENT BAIRRO",0xE6100000010C2497FF907E7B37C005C58F31774D47C0,1,9,-23.4824,-46.6052,5542,SAO PAULO,SP,2388092037,2388092037,7280071297,0,0.0,0.0,0.0,0.0,0.0,1.0
797,13710,"SP - SAO PAULO - R ALFREDO PUJOL, 383 - SENT SANTANA",0xE6100000010C8E75711B0D8037C07F6ABC74935047C0,1,9,-23.5002,-46.6295,5542,SAO PAULO,SP,9585909490,494238550,9585909490,0,0.0,0.0,0.0,0.0,0.0,1.0
